"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64"
"affinis",-0.309145307026377,-0.0423986509855661,0.0753800833510198,-0.0324290988651989,0.00463210594971024,-0.0272765145262885,0.0160854791252691,-0.00892795202532829,0.000862288194852689,-0.0166728698676556,0.0156837125819063,-0.00216579059574437,0.00346093363523985,-0.00617568318671074,0.00396041902318226,-0.00486625217940873,0.000794914062386231,-0.00358145181348352,0.00106190965275646,-0.0011633990044919,0.00415079535406266,-0.00180276374550392,0.000517993437855784,0.00169239430142748,-0.000762416340932969,-0.00122431174168912,0.00228048622545739,-0.002523106891991,-5.03913786288795e-05,-0.00164797724070869,0.000141192867277987,0.00103926102657636,0.00046369690486015,-0.000170940550555428,-0.000315284344899032,-0.000304161301560316,-9.18773035374661e-05,-0.000934415644707826,-0.000579991017903336,-0.00041667200216034,0.000718104297059532,0.000501303795319845,0.000957273852564629,0.00132167822058224,-0.000663531081825804,-0.000116438719196766,-2.71245059524643e-05,-0.000855927592089555,-0.00048512449242841,-0.000387261078320752,-0.000433787255963976,-0.000116953585908653,-0.000229480930272634,0.000100503692267947,0.000232996346930714,0.000407116078689983,0.00015663123326053,7.81932774904359e-05,0.000353533502021233,4.73208913250736e-05,8.27563686691672e-05,-9.41862046761768e-17,3.80383616562676e-17,2.20316136493805e-17
"rufus",0.199622083713729,0.00852834205473319,-0.013821895723586,0.00861350242871368,-0.0161784546067278,0.0377742305245023,-0.0285375878590581,-0.00225349104089986,-0.0260676786354297,-0.0159749197865137,-0.0059501010418941,-0.0134479975722646,-0.00585808764373804,0.0140274643735572,0.000688794945582367,-0.00350024639560966,0.00738305760937122,0.00818182895629986,-0.00860308051963085,0.00117342270037574,0.00244929700738078,0.00356013514623895,0.00256384500807558,-0.003390052178284,-0.00139536776777299,0.00119874185757506,0.00199354668999857,-0.00103368043331268,-0.00181956149103013,0.0007016992796666,-0.00281870181044499,0.000729104274596165,0.000696207387510789,0.00182388554589315,-0.001108817987302,-0.00234003206781668,-0.000797674571533275,0.0014510000942852,-0.000358179294846038,0.000483111729958364,-0.00185607609331472,-0.000523808100669174,-0.000292666554802865,-0.000393360162614318,-0.000866969864105383,0.00102618317062448,0.000690670139311136,0.000283269281841328,-0.000575270418019196,0.00029940821013635,0.000325164827616005,0.000199633147636828,-0.000105993838644915,8.80808614545573e-05,-0.000344503524661952,-6.35489261299316e-05,-0.000338212422658021,-2.8475286193419e-05,-9.52441074943164e-05,-0.000129769873874075,0.00031844856098815,3.08421083907436e-17,-5.72763414314745e-17,-6.90813701524407e-18
"zophochir",0.0250770615475855,-0.0206582841258389,0.0926871128660429,-0.0155087464629526,-0.0284311888143249,0.0123796677671535,-0.0368722823349652,-0.00224600183221457,-0.000524790782227691,-0.00917285500868394,-0.0105660112718206,0.00341817962258345,-0.0114841932805222,-0.0100964372539036,-0.00409365020531967,-0.000771520233792073,0.00387107472788038,0.00630327918314033,-0.00667340034459391,-0.00222503145856091,0.00488604759422371,-0.00263053067349754,-0.00549142010155404,-0.00052284747808991,0.000328722329781845,0.00347648634745876,0.000713318428276176,0.000900735102888974,-0.00225503473974825,0.000754482370949367,-0.000775124350816981,0.000348858487979415,0.000649445635827849,0.000651788467478066,-0.00355033631956999,0.00223961572028788,-0.00043772549145022,-0.000311777342142705,0.00261011986065309,0.00116181324397663,-0.000434622925989736,8.90860331130948e-05,-8.27382206058743e-05,-0.000526253591943293,0.000651023753012733,-7.54933890521652e-05,-0.000646010337639247,-7.03162390743416e-05,-6.50180818205344e-05,-0.000208526348870908,0.000348326563897875,2.96042032608871e-06,-0.000152205235444558,-0.000335360667424778,-0.000289721205428502,-0.000160364323085645,-0.000277997980831523,0.000426044727023357,6.75190558034818e-05,0.000103212037274589,9.92383307655256e-05,8.41245743533183e-17,-3.80075168466036e-17,-5.95504080667319e-19
"ornata",-0.0592701445516518,-0.0563164510551959,0.016994650073413,-0.00254767635627782,0.00633804850167347,-0.00384688054720272,-0.0234242312732841,-0.00233843793852476,-0.00906490092914498,-0.00691017714339027,-0.00843528791309502,0.0127122029144781,0.00400581685633275,-0.00275951874030557,0.00189070655241899,4.86430037949825e-06,0.00530476378168769,-0.0019025695239202,-0.00288725838035349,0.00738435020475152,0.00231263539973338,-0.00633489967268077,-0.00096643417045028,0.00433475533397017,-0.00205517973442973,0.00375188353832927,0.000504428713079306,0.00199992175570402,-0.000258159677481245,2.15218531963747e-05,0.00141227814889775,-0.000817465204363806,0.000327210026167316,-0.00137136703346429,-0.000648632867201966,0.00186520227264111,0.00154384140464295,-0.00040159218576855,0.000414954838849726,0.001284996910454,0.00107561342225618,3.50882116007289e-05,-0.00168783475682486,0.00116950086131444,-0.00141874790151159,0.00146024126648863,-0.00058404222323939,0.00208577475775982,0.000798798188694042,-0.000131079265096965,0.000591992638030696,9.39455911600333e-05,0.00034177696239737,-0.000312105750330721,0.000716849914213426,-2.71356156344853e-05,-0.00129000106616079,0.000263487191473782,-3.69245758935452e-05,-0.000441962865927411,5.46554049464127e-05,2.07624145351907e-17,1.26999681447351e-17,-1.13916480242305e-19
"encrasicolus",-0.219780291580488,-0.0488829678446361,0.0186758788930417,-0.0196991865024457,0.0123643057821081,-0.00931677587199586,-0.00682727822071805,-0.00373014432672098,-0.000481565817490684,-0.0105589759786263,0.0014698862227438,-0.0058851062862348,0.000316481319786401,-0.0132198681183326,-0.00298308716094902,0.000485381502920535,-0.00237941333837018,0.000399519644818931,0.0011606650707186,0.000191326141253043,-0.00262951959182593,-0.00268569949321637,-0.00460520726680415,0.00130814395338022,0.00142290906463323,-0.00163199245122147,0.000801595915276286,0.00331976712139035,0.00275444997925322,0.00269276549622934,-0.000441028038121708,0.00161209730309593,0.00198033422250253,0.00270383855782842,-0.000123662339092924,0.000943114943397753,-0.00053768971614822,-0.000768408237778935,0.000329848352519131,0.000982570320230776,-0.000430330940695573,8.32473945551931e-05,-0.00127781046661607,-0.000223904773372871,-0.000677288608500371,-0.000261802525039579,0.00224049283924962,0.00100221696761086,-0.00226813420001072,0.00032985394789988,-0.000234831793931405,-0.000246519179161397,0.000994440710288063,-0.000288988176707149,-0.00124821663669976,-2.90542587741443e-06,-0.000673910078990541,-0.000515479045824471,-6.78294034243953e-05,0.000206417342732591,-9.31302099034304e-05,1.53876271933008e-16,2.56510258494518e-17,1.74071340982485e-18
"patronus",-0.213112834754092,-0.0649034273681939,0.0474812054470819,0.00109246596873191,0.00912677664340369,-0.0652235607257138,0.00562072645279125,-0.0191894950956613,0.0116924864976468,-0.0108445768938819,0.0233493768982963,-0.00199038457373817,-0.00518578701065044,-0.00531585021407817,0.00794131229323374,0.00270996840621204,0.00748733167123619,-0.00242486965586108,-0.00542580392053257,0.00948459264229956,0.00326615452958639,0.00195641663970271,0.000359092748733457,-0.0027219756883021,0.00171079852197479,-0.00152284899067419,-0.00032901596296217,-0.0024922750160106,-0.00372896113587826,0.00342727869431726,-0.00275991962031421,-0.00181750840282775,-0.000485091432315176,0.00737014873684564,-0.00315600525785854,-0.000499283036997073,-0.00378006652944609,-0.000773234634141953,0.000485591615178009,-0.00154387955026563,-0.000486256430745564,-0.00068504977899294,-0.00200922638729484,-0.000864378185231193,0.000881546573312514,0.00334087804481707,-0.00083136986016306,0.00155872627542632,-0.00115265036370571,-0.00064168394516184,-0.00239499553096746,-0.000237492658154914,9.12651492022475e-05,-0.000527657126653162,0.00150108088905053,-0.00182893651795121,-0.000338696639017976,-0.000434818102342681,-0.000235192511532822,0.0002058761701022,-0.000719990348920419,7.12854418703024e-18,5.29667077694498e-17,7.92660373441254e-18
"thrissina",-0.218391769958081,-0.0451655518679515,-0.00163474023821193,-0.011682855681907,0.0303563900978475,-0.00434198916189076,0.00263215730458172,0.0014007090516128,0.00288448222281109,-0.00264192383136527,0.00251944150310839,-0.000154473899168793,0.00481099108823335,-0.00522729095403206,-0.00983907841069127,0.00276775905103391,-0.00183643146002071,-0.00186367857964731,0.00536129261281249,-0.00213098877184968,0.00157473179697648,-0.00166791073964199,-0.00268940961624756,0.00140522850484741,-0.00166949441352317,-0.00439849819363437,0.00325077486150159,-0.00257005160819755,0.0015243929281064,0.000397532108174653,-0.000806181836877305,-0.00177265490018541,-0.000454909398654339,-0.000196807876464482,-0.000743367464550321,0.000889180858023605,0.00200835080394026,0.000892817842927405,-0.000423351313250918,0.000136091299012929,-0.00120124474493724,3.61538759557327e-05,0.000695505156927857,0.000406887361786828,-0.00035175813296027,-7.65538608673865e-05,-0.000117519321904275,0.0002607554763173,0.000818786676627212,-0.000583718803272037,-0.000194877119963584,-0.000162418120808607,-6.60344830820707e-05,0.000240375618739965,0.000409730190228516,-1.06206798132092e-05,-0.000286572034386815,-0.000136918218716288,-3.61605377448001e-05,0.00018885126417681,-0.000163330870919451,1.8543860158008e-16,-1.51018229115807e-17,4.10256739001563e-18
"aurita",-0.368186951150741,0.0338944189422401,0.0358599928919659,0.00289484186512153,0.0169904799736941,-0.0304568062367545,0.0137460339026901,-0.00916832739194803,0.00256847393495556,-0.0115121453710638,0.0149203656084202,0.00400082883670596,0.00538914578866965,0.00656207037561838,0.00531034578142104,-0.00676490311923967,0.00364057575274128,-0.0031867598002897,0.000181185592662942,0.00281280579772248,2.64160988041286e-05,0.00117740200574649,0.00783379857703048,-0.00214146431917462,0.000937180277683459,-0.00106698963778404,0.00357423938845615,-0.000941792679446748,-0.0010691122626533,0.000300774883974591,-3.71336545670715e-06,-0.000884061618534029,-0.0015851692909756,0.00136118655426013,-0.00143848784887564,-0.00155426477738204,-0.00113473806294883,4.22448515906322e-05,-0.00125277428535355,-0.00205650974548916,-0.00132067171445689,-0.000364767186112685,0.000945670879398252,0.000787079042731874,-0.000592452763156654,0.000888353018875709,-9.68444558365818e-05,-0.00108667529990481,-0.000372780087634595,-0.000490267207337281,-0.00088977013890242,-0.000111117696469521,3.25914559768529e-05,0.00017889291726984,0.000253174021799632,0.000397514993029439,0.000322648172728798,4.78518247954528e-05,0.000461613014428311,0.000179587272082141,0.000316541025632526,6.85274072225099e-17,1.97689497194547e-17,1.44626958957688e-17
"greyi",-0.218602757791892,-0.0348489227171211,0.0704149263735985,-0.0186226997307959,0.00764011289858428,-0.0271549882186877,0.0313724704934848,0.00640431836467178,7.27998039314381e-05,-0.00416293412643049,0.0203059043802565,0.00337152882122871,-0.00393552939423249,-0.000855747430159234,0.0062325511603811,-0.00564473251026865,0.00246262035157602,-0.00401672295335138,-0.00145184597530333,0.00282945964133679,0.00185683742406706,-0.000944992289789142,0.00127303650278407,0.0013732506666012,0.00046730096395124,-0.00174237891514353,-0.000149339476454883,-0.000813745936338924,-0.00159783602494357,-0.00124962431406688,0.000103233996351205,0.000638872716471019,0.000815404205382525,0.000342991620667199,0.00120500734111487,-0.00149658216675085,0.000156334799151199,-0.00186867714425389,-0.000599186688355303,-0.000597036337269305,0.00172441850883671,-4.07688755735505e-05,0.000617324763419632,0.000822414507907802,3.14958679197517e-05,-0.000283031070995437,-0.000625060450601073,4.24475881900661e-05,-0.000639750172685406,0.000691833321315334,-0.000792321346467405,-0.00014958098068863,0.00030385795487035,1.29635770448912e-05,-0.000425027157669084,-0.000434016812243621,0.000272364624545927,8.32038917044622e-05,0.000192353989797616,4.33531300193447e-05,9.23503595440769e-05,-1.95321033148713e-16,5.86005386408179e-17,1.54797174444688e-17
"promelas",-0.0110807457659079,-0.015300705752807,0.0122733488351721,-0.0153412136942059,-0.0143567036014531,0.0326423867355353,-0.0217916250100864,-0.00621361205199327,-0.00866328992130211,0.00358790272939715,-0.0164025081549983,-0.0100565271052453,-0.00291089945054317,-0.00297321431815152,0.000243478621715147,0.00184917060254782,-0.00322264180744039,0.00112847476550561,-0.000477540430445159,0.00116372744621911,-0.00405240020993434,-0.000190143797826195,-0.00144184453689029,0.000928029010840198,-0.000394726897154565,0.00122239536044978,9.86026724745822e-05,-0.00147034135998247,-0.000511864854940568,-0.000510273855107605,0.000775507151543448,0.000667418408365874,-0.000619491597448537,-0.00125271493906764,-0.000588806179412991,-0.000460189902991913,-0.0011544278423156,0.00129045735373159,-0.000357073669596573,0.000393449143007019,0.000802939827202779,0.00108855072408191,-0.000880814783866929,0.000680651280405036,-0.000324041526100328,0.000632395422363683,-0.000218924303438487,-0.000868196916008078,-0.000441422533052034,0.000547610639307145,-2.5724978640578e-05,-0.000153978101476379,2.99522035019958e-06,0.000622850234753992,8.20521730880772e-05,-0.000383058795530653,-0.000148904333207945,4.24492769299684e-05,4.26571573599996e-05,-0.000223168283180586,2.40735878920089e-05,2.0746318932474e-16,-5.45948104628839e-17,-3.99714067984672e-18
