Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-3.687219	-3.687219
1	0.950747	750	-3.635443	-7.322662
2	0.926679	750	-3.590936	-10.913598
3	0.902980	750	-3.529836	-14.443434
4	0.879648	750	-3.483851	-17.927285
5	0.856682	750	-3.415871	-21.343156
6	0.834079	750	-3.373987	-24.717143
7	0.811838	750	-3.315009	-28.032152
8	0.789957	750	-3.269979	-31.302131
9	0.768433	750	-3.221962	-34.524094
10	0.747266	750	-3.173389	-37.697483
11	0.726452	750	-3.116881	-40.814363
12	0.705989	750	-3.070198	-43.884562
13	0.685877	750	-3.017133	-46.901694
14	0.666112	750	-2.946420	-49.848115
15	0.646693	750	-2.916500	-52.764615
16	0.627618	750	-2.858043	-55.622658
17	0.608884	750	-2.815807	-58.438465
18	0.590490	750	-2.774235	-61.212700
19	0.572433	750	-2.718974	-63.931674
20	0.554712	750	-2.659491	-66.591165
21	0.537324	750	-2.619402	-69.210567
22	0.520268	750	-2.566888	-71.777455
23	0.503540	750	-2.512170	-74.289625
24	0.487139	750	-2.479684	-76.769309
25	0.471063	750	-2.446895	-79.216204
26	0.455310	750	-2.397125	-81.613329
27	0.439877	750	-2.347553	-83.960882
28	0.424762	750	-2.298056	-86.258938
29	0.409963	750	-2.252816	-88.511755
30	0.395478	750	-2.199819	-90.711574
31	0.381305	750	-2.138916	-92.850490
32	0.367440	750	-2.123677	-94.974168
33	0.353883	750	-2.071935	-97.046102
34	0.340630	750	-2.038292	-99.084394
35	0.327680	750	-2.000187	-101.084581
36	0.315030	750	-1.930110	-103.014691
37	0.302677	750	-1.895378	-104.910069
38	0.290619	750	-1.870049	-106.780118
39	0.278855	750	-1.831154	-108.611272
40	0.267381	750	-1.840290	-110.451562
41	0.256195	750	-1.766261	-112.217823
42	0.245294	750	-1.763284	-113.981107
43	0.234677	750	-1.693158	-115.674266
44	0.224340	750	-1.841053	-117.515319
45	0.214281	750	-1.645968	-119.161287
46	0.204498	750	-1.635089	-120.796376
47	0.194988	750	-1.506059	-122.302435
48	0.185749	750	-1.572587	-123.875021
49	0.176777	750	-1.477635	-125.352656
50	0.168070	750	-1.547331	-126.899988
51	0.159626	750	-1.427036	-128.327024
52	0.151441	750	-1.342541	-129.669566
53	0.143514	750	-1.443940	-131.113505
54	0.135841	750	-1.530145	-132.643651
