Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-6.389445	-6.389445
1	0.950747	750	-6.292496	-12.681941
2	0.926679	750	-6.194704	-18.876645
3	0.902980	750	-6.109317	-24.985962
4	0.879648	750	-6.016812	-31.002774
5	0.856682	750	-5.917675	-36.920448
6	0.834079	750	-5.836292	-42.756740
7	0.811838	750	-5.740313	-48.497053
8	0.789957	750	-5.665992	-54.163045
9	0.768433	750	-5.553798	-59.716843
10	0.747266	750	-5.508167	-65.225010
11	0.726452	750	-5.400811	-70.625821
12	0.705989	750	-5.290406	-75.916228
13	0.685877	750	-5.189537	-81.105765
14	0.666112	750	-5.117176	-86.222941
15	0.646693	750	-5.040355	-91.263295
16	0.627618	750	-4.930610	-96.193906
17	0.608884	750	-4.847043	-101.040948
18	0.590490	750	-4.764285	-105.805233
19	0.572433	750	-4.676755	-110.481988
20	0.554712	750	-4.601361	-115.083349
21	0.537324	750	-4.624886	-119.708234
22	0.520268	750	-4.435206	-124.143440
23	0.503540	750	-4.344710	-128.488150
24	0.487139	750	-4.246130	-132.734280
25	0.471063	750	-4.189434	-136.923714
26	0.455310	750	-4.099317	-141.023031
27	0.439877	750	-4.017317	-145.040349
28	0.424762	750	-3.942284	-148.982632
29	0.409963	750	-4.011247	-152.993880
30	0.395478	750	-3.795167	-156.789047
31	0.381305	750	-3.744905	-160.533951
32	0.367440	750	-3.641018	-164.174969
33	0.353883	750	-3.645315	-167.820284
34	0.340630	750	-3.457959	-171.278243
35	0.327680	750	-3.406388	-174.684631
36	0.315030	750	-3.346045	-178.030676
37	0.302677	750	-3.307568	-181.338244
38	0.290619	750	-3.232705	-184.570949
39	0.278855	750	-3.134374	-187.705323
40	0.267381	750	-3.107313	-190.812635
41	0.256195	750	-3.006756	-193.819391
42	0.245294	750	-2.950869	-196.770260
43	0.234677	750	-2.915913	-199.686173
44	0.224340	750	-2.872350	-202.558523
45	0.214281	750	-2.779340	-205.337863
46	0.204498	750	-2.735223	-208.073086
47	0.194988	750	-2.651728	-210.724814
48	0.185749	750	-2.536374	-213.261188
49	0.176777	750	-2.471873	-215.733061
50	0.168070	750	-2.412453	-218.145514
51	0.159626	750	-2.373716	-220.519230
52	0.151441	750	-2.354858	-222.874088
53	0.143514	750	-2.286461	-225.160548
54	0.135841	750	-2.281923	-227.442472
55	0.128420	750	-2.087441	-229.529912
56	0.121247	750	-2.099303	-231.629215
57	0.114320	750	-2.053163	-233.682377
58	0.107637	750	-1.929950	-235.612327
59	0.101193	750	-1.897868	-237.510195
60	0.094986	750	-1.875447	-239.385642
61	0.089014	750	-1.814707	-241.200349
62	0.083273	750	-1.778004	-242.978353
63	0.077760	750	-1.717557	-244.695910
64	0.072472	750	-1.589687	-246.285597
65	0.067406	750	-1.566679	-247.852276
66	0.062558	750	-1.566217	-249.418493
67	0.057926	750	-1.512979	-250.931472
68	0.053506	750	-1.415002	-252.346474
69	0.049295	750	-1.383795	-253.730269
70	0.045289	750	-1.285033	-255.015302
71	0.041485	750	-1.275180	-256.290482
72	0.037880	750	-1.207784	-257.498266
73	0.034469	750	-1.133358	-258.631624
74	0.031250	750	-1.066301	-259.697926
75	0.028218	750	-1.028494	-260.726420
76	0.025370	750	-0.958623	-261.685043
77	0.022702	750	-0.917925	-262.602968
78	0.020209	750	-0.865767	-263.468736
79	0.017889	750	-0.811744	-264.280480
80	0.015736	750	-0.766847	-265.047328
81	0.013746	750	-0.719737	-265.767064
82	0.011916	750	-0.655455	-266.422520
83	0.010240	750	-0.617806	-267.040326
84	0.008714	750	-0.570054	-267.610379
85	0.007334	750	-0.540382	-268.150761
86	0.006093	750	-0.479686	-268.630447
87	0.004988	750	-0.441866	-269.072313
88	0.004013	750	-0.373748	-269.446061
89	0.003162	750	-0.344953	-269.791014
90	0.002430	750	-0.300914	-270.091928
91	0.001810	750	-0.291723	-270.383650
92	0.001296	750	-0.219356	-270.603006
93	0.000882	750	-0.181191	-270.784197
94	0.000559	750	-0.140571	-270.924769
95	0.000320	750	-0.103541	-271.028310
96	0.000156	750	-0.074999	-271.103309
97	0.000057	750	-0.045675	-271.148984
98	0.000010	750	-0.022552	-271.171536
99	0.000000	750	-0.004971	-271.176507
Log marginal likelihood:	-271.176507
0	0.975187	750	-6.528250	-6.528250
1	0.950747	750	-6.417125	-12.945375
2	0.926679	750	-6.318574	-19.263949
3	0.902980	750	-6.214170	-25.478120
4	0.879648	750	-6.133179	-31.611299
5	0.856682	750	-6.041490	-37.652789
6	0.834079	750	-5.940946	-43.593734
7	0.811838	750	-5.848817	-49.442551
8	0.789957	750	-5.762309	-55.204860
9	0.768433	750	-5.663089	-60.867949
10	0.747266	750	-5.571256	-66.439205
11	0.726452	750	-5.482158	-71.921363
12	0.705989	750	-5.383127	-77.304490
13	0.685877	750	-5.315095	-82.619585
14	0.666112	750	-5.219157	-87.838742
15	0.646693	750	-5.131672	-92.970414
16	0.627618	750	-5.036425	-98.006839
17	0.608884	750	-4.962275	-102.969114
18	0.590490	750	-4.863038	-107.832152
19	0.572433	750	-4.797013	-112.629165
20	0.554712	750	-4.690257	-117.319422
21	0.537324	750	-4.604854	-121.924276
22	0.520268	750	-4.534514	-126.458790
23	0.503540	750	-4.419911	-130.878701
24	0.487139	750	-4.373749	-135.252450
25	0.471063	750	-4.276018	-139.528468
26	0.455310	750	-4.207262	-143.735730
27	0.439877	750	-4.166404	-147.902134
28	0.424762	750	-4.030115	-151.932249
29	0.409963	750	-3.931506	-155.863755
30	0.395478	750	-3.849876	-159.713631
31	0.381305	750	-3.790969	-163.504600
32	0.367440	750	-3.751609	-167.256209
33	0.353883	750	-3.618943	-170.875152
34	0.340630	750	-3.551574	-174.426726
35	0.327680	750	-3.480627	-177.907353
36	0.315030	750	-3.396138	-181.303491
37	0.302677	750	-3.358943	-184.662434
38	0.290619	750	-3.272068	-187.934502
39	0.278855	750	-3.187111	-191.121613
40	0.267381	750	-3.113411	-194.235024
41	0.256195	750	-3.108478	-197.343502
42	0.245294	750	-3.046929	-200.390431
43	0.234677	750	-2.922619	-203.313051
44	0.224340	750	-2.869586	-206.182637
45	0.214281	750	-2.834040	-209.016677
46	0.204498	750	-2.740242	-211.756918
47	0.194988	750	-2.637838	-214.394756
48	0.185749	750	-2.589020	-216.983776
49	0.176777	750	-2.645563	-219.629339
50	0.168070	750	-2.460710	-222.090049
51	0.159626	750	-2.541117	-224.631166
52	0.151441	750	-2.368308	-226.999475
53	0.143514	750	-2.311090	-229.310564
54	0.135841	750	-2.228463	-231.539027
55	0.128420	750	-2.343527	-233.882554
56	0.121247	750	-2.077738	-235.960292
57	0.114320	750	-2.107574	-238.067866
58	0.107637	750	-2.093557	-240.161423
59	0.101193	750	-2.037249	-242.198672
60	0.094986	750	-1.944884	-244.143556
61	0.089014	750	-1.822940	-245.966496
62	0.083273	750	-1.855703	-247.822199
63	0.077760	750	-1.750470	-249.572669
64	0.072472	750	-1.586015	-251.158684
65	0.067406	750	-1.613900	-252.772585
66	0.062558	750	-1.582484	-254.355069
67	0.057926	750	-1.492713	-255.847782
68	0.053506	750	-1.430613	-257.278395
69	0.049295	750	-1.347267	-258.625662
70	0.045289	750	-1.331499	-259.957161
71	0.041485	750	-1.233440	-261.190601
72	0.037880	750	-1.194903	-262.385503
